Vessel Name,Previous Name(s),Current Flag,Previous Flag(s),"Current Owner Name & Address","Prior Owner","Current Operator","Prior Operator",Call sign,IMO,Other id,Image,"Date the vessel was first included in the IUU List",Position,"Summary of Activities","Actions taken",Outcome
"Not Applicable – There are NO vessels listed",,,,,,,,,,,,,,,
