Name of vessel,Flag of vessel,"Name & Address of Owner","Operator of vessel",Call sign of vessel,IMO number,"Other vessel identifier","Photograph of vessel","Date the vessel was first included in the IUU List","Summary of activities that justifies the inclusion of the vessel on the List, together with reference to all relevant documents informing of and evidencing those activities"
AURORA (PACIFIC CONQUEROR),Russian Federation (Peru),"Albatros Company Limited, ul. Portovaya 8, Korsakov 694020, Russian Federation (Sustainable Fishing resources S.A.C.Calle Amador Merino Reyna No. 307 Piso 9 San Isidro, Lima, Peru)",,UBR16,9179359,,"Marine traffic image of AURORA",6 February 2015,"Fishing in the SPRFMO Convention Area without authorisation (air photographs from New Zealand) and prolonged unauthorised presence in the SPRFMO Area (evidence from Chile)."
DAMANZAIHAO (LAFAYETTE),Peru (Russian Federation),"Sustainable Fishing resources S.A.C.Calle Amador Merino Reyna No. 307 Piso 9 San Isidro, Lima, Peru (Investment Company KREDO LLC)",,UDFI,7913622,,"Marine Traffic image of LAFAYETTE",6 February 2015,"Prolonged presence in the SPRFMO Area without authorisation and providing support to five authorised Peruvian trawlers according to evidence provided by Chile and Peru."
