Vessel Name,IMO Number,IRCS
MARTA LUCIA R,9330214,HJCY
MARWAN 1,,
MARY LYNN,8949044,HC5290
MAYA V,8882818,HP8357
MING TSAIR FA NO. 60,8787276,BG4018
MOTHER OF JESUS,,
MURAVYEV-AMURSKIY,9146352,UESA
MURTOSA,7385174,
MUTIARA NO. 28,8669723,
NAJEM AL SHAMAL,8430586,5AWC
NATIONAL NO. 101,,
NEMANSKIY,8721595,UBKQ
NEPTUNE,8977596,
NEW BAI I NO. 168,,YGMY
NICOLAY CHUDOTVORETS,8421937,UDIB
NIKA,8808654,
NINKI 1,,
NORTH OCEAN,9230658,BZZW5
NORTHERN WARRIOR,8808903,
NOVA,,
OCEAN DIAMOND,,
OCEAN STAR MARINE,7817440,V3AG3
OCEAN STAR NO. 2,8665193,
ORCA,,
OZHERELYE,8422876,UEZQ
PARSIAN SHILA,9404285,9BKI
PERLON,5062479,5NTV21
PERMATA,,
PERMATA - 08,,YEA5088
PERMATA 01,,YEA5032
PERMATA 102,,
PERMATA 138,,
PERMATA 6,,YEA5035
PERMATA 99,8592487,YEA5033
PESCACISNE 1,9319856,9LU2119
PHOENIX,8429991,S7SK
PRIMERO VI,,V3HC3
PRIMERO VIII,,V3TE6
PROGRESO,,TJMC30
PS REEFER,8221947,3FRQ5
QIAN YUAN,8819691,H3YK
REYMAR 6,,
RIWA,9017666,5VIR8
ROBERTO,8608470,CXYZ
ROSITA,8522169,4LSL
RWAD 1,8655409,
SACRED HEART,,
SAE IN VICTOR,9230646,DTBX5
SAGE,7825215,C5J96
SAMPATH,,
SAMUDERA PASIFIC NO.18,,YGGY
SAMUDERA PERKASA 11,,
SAMUDERA PERKASA 12,,
SANJANA PUTHA,,
SANT YAGO TRES,8919427,TGSY3
SEA ANGEL 2,,
SEA STAR V,8914221,3EYI5
SEA URCHIN,7424891,
SEA VIEW,8692342,
SEA WIND,8692354,
SEYARA,,
SHALOM,,
SHARJI AMMA,,
SHENG I TSAI 313,,V3VZ7
SHENG JI QUN 3,,CPA311
SHIN YEOU NO. 16,8431372,BI2157
SHUEN SIANG,,
SHUN CHANG NO. 3,8430550,BZTX3
SHUN LAI,,CPA514
SHUN SING NO. 1,8977558,
SIBLEY,7930034,HO2894
SIN SHUN FA 6,,
SIN SHUN FA 67,,
SIN SHUN FA 8,,
SIN SHUN FA 9,,
SOUTHERN STAR 136,7378119,
SRI FU FA 168,,
SRI FU FA 18,,
SRI FU FA 188,,
SRI FU FA 189,,
SRI FU FA 286,,
SRI FU FA 67,,
SRI FU FA 888,,
ST ANNES,,
ST ANTONY,,
ST MARYS,,
STAR OF THE SEA,,
STS-50,8514772,
SUBA PATHUM 03,8444264,4SF5790
SUMMER REFER,7816472,
SUNNY JANE,7347407,V3KG2
TA FU NO. 1,9259070,
TARUMAN,7235733,
TARZAN 28,,
TARZAN III,8994362,
TARZAN VIII,8994374,
TARZAN XII,8994386,V3NU9
TCHAW,6818930,
TCHING YE NO. 6,,V3GN
THUNDER,6905408,5NTV
TIAN LUNG NO. 12,,
TIANTAI,7905039,
TONINA NO. 5,9001423,6NKA
TRINITY,7321374,
ULLA,8606836,4LLA
UTHAIWAN,7637527,JVJT7
VACHANAM,,
VEDRA,7717913,HQTK9
VIARSA I,8001335,
VICENTE,9130781,HC6037
VIKING,8713392,
VIRILE,7920182,
WAN FENG,,
WANG JIA MEN 89,,
WANG JIA MEN 99,9257163,V3LV
WANG JIA MEN NO. 88,,
WEN TENG NO. 688,8994295,
WEST OCEAN,9230672,BZTX8
WISDOM,,
XIN SHI JI 16,9627253,3DTN
XING FA,8550740,S9Z6
XING HAI FENG,7826233,3FHW5
YAHOVA NICY,,
YI HONG 3,,
YONA,,
YU FONG 168,,BJ4786
YU FU 11,,
YU LONG,9257151,HC5585
YU LONG 125,8995445,
YU LONG 66,8673023,V3ZS6
YU LONG 70,8673035,
YU LONG 88,,V3ZT6
YU LONG NO. 10,9265562,V3TK6
YU LONG NO. 12,,
YU LONG NO. 26,2699817,
YU LONG NO. 35,2700666,
YU LONG NO. 6,9265550,
YU MAAN WON,,
YUANDA 6,,
YUANDA 8,,
YUTUNA NO. 1,,CPA302
YUTUNA NO. 3,,CPA212
ZHE LING YU LENG 90055,,
ZHE LING YU LENG 905,,
ZHEXIANG YU 23029,,
ZHOU YU 625,8982917,
ZHOU YU 632,8982955,
ZHOU YU 641,8833659,
ZHOU YU 642,8833661,
ZHOU YU 651,,
ZHOU YU 652,,
ZHOU YU 653,,
ZHOU YU 656,,
ZHOU YU 657,,
ZHOU YU 658,,
ZHOU YU 659,,
ZHOU YU 660,,
ZHOU YU 661,,
ZHOU YU 808,,
ZHOU YU 809,,
